REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
2,2019,"Lafont, Maxime; Goncalves, Priscila; Guo, Ximing; Montagnani, Caroline; Raftos, David; Green, Timothy",Transgenerational plasticity and antiviral immunity in the Pacific oyster (Crassostrea gigas) against Ostreid herpesvirus 1 (OsHV-1).,Developmental & Comparative Immunology,0145-305X,17-25,,91,Studies that did not meet inclusion criteria,,
2,2019,"Laurin, Emilie; Morrison, Diane; Gardner, Ian A.; Siah, Ahmed; Powell, James F. F.; Kamaitis, Mykolas",Bayesian latent class analysis of ELISA and RT-rPCR diagnostic accuracy for subclinical Renibacterium salmoninarum infection in Atlantic salmon (Salmo salar) broodstock.,Journal of Fish Diseases,0140-7775,303-313,2,42,Studies that did not meet inclusion criteria,,
2,2019,"Layton, Emily M.; On, Jungmin; Perlmutter, Jessamyn I.; Bordenstein, Seth R.; Shropshire, J. Dylan",Paternal Grandmother Age Affects the Strength of Wolbachia-Induced Cytoplasmic Incompatibility in Drosophila melanogaster,mBio,2150-7511,e01879-19,6,10,Studies that did not meet inclusion criteria,,
2,2019,"Meany, Megan K.; Conner, William R.; Richter, Sophia; Bailey, Jessica A.; Turelli, Michael; Cooper, Brandon S.",Loss of cytoplasmic incompatibility and minimal fecundity effects explain relatively low Wolbachia frequencies in Drosophila mauritiana,Evolution,0014-3820,1278-1295,6,73,Studies that did not meet inclusion criteria,,
2,2019,"Ning, Junhao; Liu, Yuan; Gao, Fengtao; Liu, Hourong; Cui, Zhaoxia",Characterization and functional analysis of a novel gC1qR in the swimming crab Portunus trituberculatus,Fish & Shellfish Immunology,1050-4648,970-978,,84,Studies that did not meet inclusion criteria,,
2,2019,"Ning, Junhao; Liu, Yuan; Gao, Fengtao; Song, Chengwen; Cui, Zhaoxia","Two alpha-2 macroglobulin from Portunus trituberculatus involved in the prophenoloxidase system, phagocytosis and regulation of antimicrobial peptides.",Fish & Shellfish Immunology,1050-4648,574-585,,89,Studies that did not meet inclusion criteria,,
2,2019,"Ning, Su-fang; Zhou, Jin-cheng; Liu, Quan-quan; Zhao, Qian; Dong, Hui","Gradual, temperature-induced change of secondary sexual characteristics in Trichogramma pretiosum infected with parthenogenesis-inducing Wolbachia.",PeerJ,2167-8359,e7567,,7,Studies that did not meet inclusion criteria,,
2,2019,"Pinheiro, Rafael Oliveira; Lins, Priscilla Paulo; Pinto de Carvalho, Jader Luciano; de Araujo, Emmanuel Verissimo; Alves, Adriano Francisco; Pereira, Rarnon de Alencar; Toscano, Lydiane Tavares; Silva, Alexandre Sergio; de Souza, Evandro Leite; de Brito Alves, Jose Luiz; Aquino, Jailane de Souza",Maternal dyslipidaemic diet induces sex-specific alterations in intestinal function and lipid metabolism in rat offspring,British Journal of Nutrition,0007-1145,721-734,7,121,Studies that did not meet inclusion criteria,,
2,2019,"Rosario, Karyna; Mettel, Kaitlin A.; Greco, Anthony M.; Breitbart, Mya","Prevalence of a vertically transmitted single-stranded DNA virus in spinybacked orbweavers (Gasteracantha cancriformis) from Florida, USA.",Journal of General Virology,0022-1317,1253-1265,8,100,Studies that did not meet inclusion criteria,,
2,2019,"Glass, Ruthy; Norton, Sara; Fox, Nicholas; Kusnecov, Alexander W.",Maternal immune activation with staphylococcal enterotoxin A produces unique behavioral changes in C57BL/6 mouse offspring,Brain Behavior and Immunity,0889-1591,12-25,,75,Studies that did not meet inclusion criteria,,
2,2019,"Gomez-Chamorro, Andrea; Heinrich, Vanina; Sarr, Anouk; Roethlisberger, Owen; Genne, Dolores; Bregnard, Cindy; Jacquet, Maxime; Voordouw, Maarten J.",Maternal Antibodies Provide Bank Voles with Strain-Specific Protection against Infection by the Lyme Disease Pathogen,Applied and Environmental Microbiology,0099-2240,e01887-19,23,85,Studies that did not meet inclusion criteria,,
2,2019,"Izquierdo-Suzan, Monica; Zarate, Selene; Torres-Flores, Jesus; Correa-Morales, Fabian; Gonzalez-Acosta, Cassandra; Sevilla-Reyes, Edgar E.; Lira, Rosalia; Alcaraz-Estrada, Sofia L.; Yocupicio-Monroy, Martha","Natural Vertical Transmission of Zika Virus in Larval Aedes aegypti Populations, Morelos, Mexico.",Emerging Infectious Diseases,1080-6040,1477-1484,8,25,Studies that did not meet inclusion criteria,,
2,2019,"Gamble, Amandine; Garnier, Romain; Jaeger, Audrey; Gantelet, Hubert; Thibault, Eric; Tortosa, Pablo; Bourret, Vincent; Thiebot, Jean-Baptiste; Delord, Karine; Weimerskirch, Henri; Tornos, Jeremy; Barbraud, Christophe; Boulinier, Thierry",Exposure of breeding albatrosses to the agent of avian cholera: dynamics of antibody levels and ecological implications.,Oecologia (Berlin),0029-8549,939-949,4,189,Studies that did not meet inclusion criteria,,
2,2019,"Gegner, Jasmin; Baudach, Arne; Mukherjee, Krishnendu; Halitschke, Rayko; Vogel, Heiko; Vilcinska, Andreas",Epigenetic Mechanisms Are Involved in Sex-Specific Trans-Generational Immune Priming in the Lepidopteran Model Host Manduca sexta,Frontiers in Physiology,1664-042X,137,,10,Studies that did not meet inclusion criteria,,
2,2019,"Hahn, Megan A.; Dheilly, Nolwenn M.","Genome Characterization, Prevalence, and Transmission Mode of a Novel Picornavirus Associated with the Threespine Stickleback Fish (Gasterosteus aculeatus)",Journal of Virology,0022-538X,e02277-18,9,93,Studies that did not meet inclusion criteria,,
2,2019,"Lee, Jung Keun; Moraru, Gail M.; Stokes, John V.; Benton, Amanda N.; Wills, Robert W.; Nabors, Haley P.; Smith, Catherine L.; Lawrence, Amanda M.; Willeford, Bridget V.; Varela-Stokes, Andrea S.",Amblyomma maculatum-associated rickettsiae in vector tissues and vertebrate hosts during tick feeding.,Experimental and Applied Acarology,0168-8162,187-205,2,77,Studies that did not meet inclusion criteria,,
2,2019,"Liu, Chang; Ji, Pingsheng; Timper, Patricia",Maternal Stress Reduces the Susceptibility of Root-Knot Nematodes to Pasteuria Penetrans.,Journal of Nematology,0022-300X,1-8,,51,Studies that did not meet inclusion criteria,,
2,2019,"Luo, Zhen; Xu, Xue; Zhao, Sen; Sho, Takami; Luo, Wenli; Zhang, Jing; Xu, Weina; Hon, Kong; Xu, Jianxiong","Inclusion of microbe-derived antioxidant during pregnancy and lactation attenuates high-fat diet-induced hepatic oxidative stress, lipid disorders, and NLRP3 inflammasome in mother rats and offspring",Food & Nutrition Research,1654-6628,3504,,63,Studies that did not meet inclusion criteria,,
2,2019,"Maia, L. M. S.; Bezerra, M. C. F.; Costa, M. C. S.; Souza, E. M.; Oliveira, M. E. B.; Ribeiro, A. L. M.; Miyazaki, R. D.; Slhessarenko, R. D.","Natural vertical infection by dengue virus serotype 4, Zika virus and Mayaro virus in Aedes (Stegomyia) aegypti and Aedes (Stegomyia) albopictus.",Medical and Veterinary Entomology,0269-283X,437-442,3,33,Studies that did not meet inclusion criteria,,
2,2019,"Wang, Xiqiong; Xu, Guiyun; Yang, Ning; Yan, Yiyuan; Wu, Guiqin; Sun, Congjiao",Differential proteomic analysis revealed crucial egg white proteins for hatchability of chickens,Poultry Science,,7076-7089,12,98,Studies that did not meet inclusion criteria,,
2,2019,"You, Lan; Lee, Alison V.; Oh, Se-Young; Fisher-Heffernan, Rebecca E.; Edwards, Michelle; de lange, Kees; Karrow, Niel A.",Effect of lipopolysaccharide-induced immune stimulation and maternal fish oil and microalgae supplementation during late pregnancy on nursery pig hypothalamic-pituitary-adrenal function,Journal of Animal Science,0021-8812,2940-2951,7,97,Studies that did not meet inclusion criteria,,
2,2019,"Al Nabhani, Ziad; Dulauroy, Sophie; Lecuyer, Emelyne; Polomack, Bernadette; Campagne, Pascal; Berard, Marion; Eberl, Gerard",Excess calorie intake early in life increases susceptibility to colitis in adulthood,Nature Metabolism,,1101-+,11,1,Studies that did not meet inclusion criteria,,
2,2019,"Fassbinder-Orth, C. A.; Igl, L. D.; Hahn, D. C.; Watts, K. M.; Wilcoxen, T. E.; Ramos-Alvarez, K. R.",Do Life History Traits Influence Patterns of Maternal Immune Elements in New World Blackbirds (Icteridae)?,Integrative Organismal Biology,,oby011,1,1,Studies that did not meet inclusion criteria,,
2,2019,"Lind, Craig M.; Clark, Amber; Smiley-Walters, Sarah A.; Taylor, Daniel R.; Isidoro-Ayza, Marcos; Lorch, Jeffrey M.; Farrell, Terence M.",Interactive Effects of Food Supplementation and Snake Fungal Disease on Pregnant Pygmy Rattlesnakes and Their Offspring.,Journal of Herpetology,0022-1511,282-288,4,53,Studies that did not meet inclusion criteria,,
2,2019,"Bernier, Clementine; Boidin-Wichlacz, Celine; Tasiemski, Aurelie; Hautekeete, Nina; Massol, Francois; Cuvillier-Hot, Virginie",Transgenerational Immune Priming in the Field: Maternal Environmental Experience Leads to Differential Immune Transfer to Oocytes in the Marine Annelid Hediste diversicolor,Genes,,989,12,10,Studies that did not meet inclusion criteria,,
2,2019,"Gulan, Tuohetimulati; Yeernuer, Tusufuhan; Sui, Shuang; Mayinuer, Niziya",A Rat Model of Maternal Polycystic Ovary Syndrome Shows that Exposure to Androgens In Utero Results in Dysbiosis of the Intestinal Microbiota and Metabolic Disorders of the Newborn Rat,Medical Science Monitor,1643-3750,9377-9391,,25,Studies that did not meet inclusion criteria,,
2,2019,"Kuechler, Stefan Martin; Fukatsu, Takema; Matsuura, Yu",Repeated evolution of bacteriocytes in lygaeoid stinkbugs,Environmental Microbiology,1462-2912,4378-4394,11,21,Studies that did not meet inclusion criteria,,
2,2019,"Srugo, Sebastian A.; Bloise, Enrrico; Nguyen, Tina Tu-Thu Ngoc; Connor, Kristin L.",Impact of Maternal Malnutrition on Gut Barrier Defense: Implications for Pregnancy Health and Fetal Development,Nutrients,,1375,6,11,Studies that did not meet inclusion criteria,,
2,2019,"Zhu, Min; Li, Kun; Xuan, Yinming; Sun, Zhenli; Liu, Bo; Kumar, Dhiraj; Jiang, Ming; Pan, Yunsheng; Zhang, Yiming; Gong, Yeping; Lu, Xiaoping; Yu, Deshan; Hu, Xiaolong; Cao, Guangli; Xue, Renyu; Gong, Chengliang",Host Range and Vertical Transmission of Cyprinid herpesvirus 2.,Turkish Journal of Fisheries and Aquatic Sciences,,645-652,8,19,Studies that did not meet inclusion criteria,,
3,2019,"Morimoto, Juliano; Nguyen, Binh; Tabrizi, Shabnam T.; Lundback, Ida; Taylor, Phillip W.; Ponton, Fleur; Chapman, Toni A.","Commensal microbiota modulates larval foraging behaviour, development rate and pupal production in Bactrocera tryoni",BMC Microbiology,1471-2180,286,"1, Suppl. 1",19,Studies that did not meet inclusion criteria,,
3,2019,"Parker, Erik S.; Dury, Guillaume J.; Moczek, Armin P.","Transgenerational developmental effects of species-specific, maternally transmitted microbiota in Onthophagus dung beetles",Ecological Entomology,0307-6946,274-282,2,44,Studies that did not meet inclusion criteria,,
3,2019,"Gupta, Suman; Basu, Srijani; Bal, Vineeta; Rath, Satyajit; George, Anna",Gut IgA abundance in adult life is a major determinant of resistance to dextran sodium sulfate-colitis and can compensate for the effects of inadequate maternal IgA received by neonates,Immunology,0019-2805,19-34,1,158,Studies that did not meet inclusion criteria,,
3,2019,"Zaada, Doron Shalom Yishai; Ben-Yosef, Michael; Yuval, Boaz; Jurkevitch, Edouard",The host fruit amplifies mutualistic interaction between Ceratitis capitata larvae and associated bacteria,BMC Biotechnology,,,"Suppl. 2, Sp. Iss. SI",19,Studies that did not meet inclusion criteria,,
4,2019,"Cheng, C. S.; Wei, H. K.; Wang, P.; Yu, H. C.; Zhang, X. M.; Jiang, S. W.; Peng, J.",Early intervention with faecal microbiota transplantation: an effective means to improve growth performance and the intestinal development of suckling piglets,Animal,1751-7311,533-541,3,13,Studies that did not meet inclusion criteria,,
4,2019,"Treichel, Nicole Simone; Prevoršek, Zala; Mrak, Vesna; Kostrić, Matea; Vestergaard, Gisle; Foesel, Bärbel; Pfeiffer, Stefan; Stres, Blaž; Schöler, Anne; Schloter, Michael",Effect of the Nursing Mother on the Gut Microbiome of the Offspring During Early Mouse Development,Microbial Ecology,1432-184X,517-527,2,78,Studies that did not meet inclusion criteria,,
4,2019,"McCormack, Ursula M.; Curiao, Tania; Metzler-Zebeli, Barbara U.; Wilkinson, Toby; Reyer, Henry; Crispie, Fiona; Cotter, Paul D.; Creevey, Christopher J.; Gardiner, Gillian E.; Lawlor, Peadar G.",Improvement of Feed Efficiency in Pigs through Microbial Modulation via Fecal Microbiota Transplantation in Sows and Dietary Supplementation of Inulin in Offspring,Applied and Environmental Microbiology,0099-2240,e01255-19,22,85,Studies that did not meet inclusion criteria,,
4,2019,"Paul, Heather A.; Collins, Kelsey H.; Nicolucci, Alissa C.; Urbanski, Stefan J.; Hart, David A.; Vogel, Hans J.; Reimer, Raylene A.",Maternal prebiotic supplementation reduces fatty liver development in offspring through altered microbial and metabolomic profiles in rats,FASEB Journal,0892-6638,5153-5167,4,33,Studies that did not meet inclusion criteria,,
4,2019,"Griffiths, Sarah M.; Antwis, Rachael E.; Lenzi, Luca; Lucaci, Anita; Behring, Donald C.; Butler, Mark J.; Preziosi, Richard F.",Host genetics and geography influence microbiome composition in the sponge Ircinia campana,Journal of Animal Ecology,0021-8790,,11,88,Studies that did not meet inclusion criteria,,
4,2019,"Gur, Tamar L.; Palkar, Aditi Vadodkar; Rajasekera, Therese; Allen, Jacob; Niraula, Anzela; Godbout, Jonathan; Bailey, Michael T.","Prenatal stress disrupts social behavior, cortical neurobiology and commensal microbes in adult male offspring",Behavioural Brain Research,0166-4328,886-894,,359,Studies that did not meet inclusion criteria,,
4,2019,"He, Jianwen; Guo, Huiduo; Zheng, Weijiang; Xue, Yongqiang; Zhao, Ruqian; Yao, Wen",Heat stress affects fecal microbial and metabolic alterations of primiparous sows during late gestation,Journal of Animal Science and Biotechnology,2049-1891,84,1,10,Studies that did not meet inclusion criteria,,
4,2019,"Hasan, S.; Saha, S.; Junnikkala, S.; Orro, T.; Peltoniemi, O.; Oliviero, C.","Late gestation diet supplementation of resin acid-enriched composition increases sow colostrum immunoglobulin G content, piglet colostrum intake and improve sow gut microbiota",Animal,1751-7311,1599-1606,8,13,Studies that did not meet inclusion criteria,,
4,2019,"Lebovitz, Yeonwoo; Kowalski, Elizabeth A.; Wang, Xia; Kelly, Colin; Lee, Madison; McDonald, Valerie; Ward, Rachael; Creasey, Miranda; Mills, William; Basso, Erwin Kristobal Gudenschwager; Hazy, Amanda; Hrubec, Terry; Theus, Michelle H.",Lactobacillus rescues postnatal neurobehavioral and microglial dysfunction in a model of maternal microbiome dysbiosis,Brain Behavior and Immunity,0889-1591,617-629,,81,Studies that did not meet inclusion criteria,,
4,2019,"Hansen, Camilla H. F.; Larsen, Christian S.; Petersson, Henriette O.; Zachariassen, Line F.; Vegge, Andreas; Lauridsen, Charlotte; Kot, Witold; Krych, Lukasz; Nielsen, Dennis S.; Hansen, Axel K.",Targeting gut microbiota and barrier function with prebiotics to alleviate autoimmune manifestations in NOD mice,Diabetologia,0012-186X,1689-1700,9,62,Studies that did not meet inclusion criteria,,
4,2019,"Hsu, Chien-Ning; Chang-Chien, Guo-Ping; Lin, Sufan; Hou, Chih-Yao; Tain, You-Lin",Targeting on Gut Microbial Metabolite Trimethylamine-N-Oxide and Short-Chain Fatty Acid to Prevent Maternal High-Fructose-Diet-Induced Developmental Programming of Hypertension in Adult Male Offspring,Molecular Nutrition & Food Research,1613-4125,1900073,18,63,Studies that did not meet inclusion criteria,,
4,2019,"Sgritta, Martina; Dooling, Sean W.; Buffington, Shelly A.; Momin, Eric N.; Francis, Michael B.; Britton, Robert A.; Costa-Mattiolit, Mauro",Mechanisms Underlying Microbial-Mediated Changes in Social Behavior in Mouse Models of Autism Spectrum Disorder,Neuron,0896-6273,246-259,2,101,Studies that did not meet inclusion criteria,,
4,2019,"Zhang, Qian; Xiao, Xinhua; Zheng, Jia; Li, Ming; Yu, Miao; Ping, Fan; Wang, Tong; Wang, Xiaojing",Influence of Maternal Inulin-Type Prebiotic Intervention on Glucose Metabolism and Gut Microbiota in the Offspring of C57BL Mice,Frontiers in Endocrinology,1664-2392,675,,10,Studies that did not meet inclusion criteria,,
1,2020,"He, Qiuwen; Kwok, Lai-Yu; Xi, Xiaoxia; Zhong, Zhi; Ma, Teng; Xu, Haiyan; Meng, Haixia; Zhao, Fangqing; Zhang, Heping",The meconium microbiota shares more features with the amniotic fluid microbiota than the maternal fecal and vaginal microbiota,Gut Microbes,1949-0984,1794266,1,12,Studies that did not meet inclusion criteria,,
1,2020,"Korpela, Katri; Helve, Otto; Kolho, Kaija-Leena; Saisto, Terhi; Skogberg, Kirsi; Dikareva, Evgenia; Stefanovic, Vedran; Salonen, Anne; Andersson, Sture; de Vos, Willem M.",Maternal Fecal Microbiota Transplantation in Cesarean-Born Infants Rapidly Restores Normal Gut Microbial Development: A Proof-of-Concept Study,Cell,0092-8674,324-+,2,183,Studies that did not meet inclusion criteria,,
1,2020,"Mhajan, Charu; Misra, Devyani; Faruq, Mariyam; Mishra, Rajkumar",Relationship between Maternal and Perinatal Outcome with High Vaginal Swab Culture: A Cross-sectional Study,Journal of Clinical and Diagnostic Research,2249-782X,QC5-QC8,11,14,Studies that did not meet inclusion criteria,,
